Date,Team,PTS,,Opp,PTS,,OT,Notes
Wed Jan 17 2024,Paris Basketball,104,,Hapoel Tel Aviv,86,,,
Wed Jan 17 2024,Joventut,82,,London Lions,80,,,
Wed Jan 17 2024,Wolves Vilnius,64,,Prometey,91,,,
Tue Jan 23 2024,Joventut,82,,Paris Basketball,89,,,
Wed Jan 24 2024,Cedevita Olimpija,114,,Veolia Towers Hamburg,83,,,
Wed Jan 24 2024,Prometey,113,,Hapoel Tel Aviv,105,,,
Wed Jan 24 2024,Beşiktaş Emlakjet,72,,London Lions,93,,,
Wed Jan 24 2024,Wolves Vilnius,75,,Umana Reyer Venezia,57,,,
Tue Jan 30 2024,Paris Basketball,95,,Beşiktaş Emlakjet,72,,,
Tue Jan 30 2024,Hapoel Tel Aviv,91,,Joventut,85,,,
Tue Jan 30 2024,Prometey,92,,Umana Reyer Venezia,108,,,
Tue Jan 30 2024,Veolia Towers Hamburg,84,,Wolves Vilnius,94,,,
Wed Jan 31 2024,London Lions,92,,Cedevita Olimpija,85,,,
Tue Feb 6 2024,Umana Reyer Venezia,90,,Veolia Towers Hamburg,83,,,
Wed Feb 7 2024,Hapoel Tel Aviv,94,,Beşiktaş Emlakjet,73,,,
Wed Feb 7 2024,Wolves Vilnius,85,,London Lions,80,,,
Wed Feb 7 2024,Cedevita Olimpija,66,,Paris Basketball,119,,,
Wed Feb 7 2024,Joventut,80,,Prometey,94,,,
