Date,Team,PTS,Opp,PTS_Opp,Weight
2024-04-28,Unicaja,,Lenovo Tenerife,,0.5
2024-05-01,Unicaja,86.0,Lenovo Tenerife,87.0,0.5
2024-05-01,Casademont Zaragoza,77.0,UCAM Murcia,82.0,0.5
2024-05-04,Zunder Palencia,97.0,Surne Bilbao Basket,80.0,0.5
2024-05-04,MoraBanc Andorra,89.0,Monbus Obradoiro,101.0,0.5
2024-05-04,Joventut,76.0,Valencia Basket,83.0,0.5
2024-05-05,UCAM Murcia,71.0,Unicaja,96.0,0.5
2024-05-05,Dreamland Gran Canaria,89.0,Barça,95.0,0.5
2024-05-05,Lenovo Tenerife,54.0,Río Breogán,76.0,0.5
2024-05-05,Covirán Granada,80.0,Real Madrid,94.0,0.5
2024-05-05,Bàsquet Girona,96.0,Baskonia,92.0,0.5
2024-05-05,Baxi Manresa,80.0,Casademont Zaragoza,90.0,0.5
2024-05-09,Monbus Obradoiro,81.0,Zunder Palencia,75.0,0.5
2024-05-09,Surne Bilbao Basket,81.0,Baxi Manresa,90.0,0.5
2024-05-09,Lenovo Tenerife,88.0,Joventut,96.0,0.5
2024-05-10,Unicaja,92.0,Barça,91.0,0.5
2024-05-10,Covirán Granada,84.0,Casademont Zaragoza,77.0,0.5
2024-05-10,UCAM Murcia,79.0,Baskonia,94.0,0.5
2024-05-10,Real Madrid,93.0,Valencia Basket,99.0,0.5
2024-05-10,Bàsquet Girona,86.0,Dreamland Gran Canaria,78.0,0.5
2024-05-10,MoraBanc Andorra,92.0,Río Breogán,97.0,0.5
2024-05-12,Zunder Palencia,69.0,Unicaja,93.0,0.5
2024-05-12,Baskonia,100.0,Real Madrid,106.0,0.5
2024-05-12,Joventut,71.0,Monbus Obradoiro,97.0,0.5
2024-05-12,Barça,72.0,Surne Bilbao Basket,68.0,0.5
2024-05-12,Baxi Manresa,80.0,Lenovo Tenerife,84.0,0.5
2024-05-12,Dreamland Gran Canaria,67.0,Covirán Granada,74.0,0.5
2024-05-12,Casademont Zaragoza,89.0,Bàsquet Girona,79.0,0.5
2024-05-12,Río Breogán,61.0,UCAM Murcia,68.0,0.5
2024-05-12,Valencia Basket,71.0,MoraBanc Andorra,99.0,0.5
