Date,Team,PTS,Opp,PTS_Opp,Weight
2023-10-31,Veolia Towers Hamburg,76.0,Joventut,108.0,1.0
2023-11-01,Umana Reyer Venezia,68.0,Beşiktaş Emlakjet,74.0,1.0
2023-11-01,London Lions,,Hapoel Tel Aviv,,1.0
2023-11-01,Paris Basketball,96.0,Prometey,79.0,1.0
2023-11-02,Hapoel Tel Aviv,98.0,London Lions,90.0,1.0
2023-11-04,Surne Bilbao Basket,63.0,Casademont Zaragoza,77.0,0.5
2023-11-04,Monbus Obradoiro,74.0,Unicaja,87.0,0.5
2023-11-04,Bàsquet Girona,80.0,Zunder Palencia,76.0,0.5
2023-11-04,MoraBanc Andorra,53.0,Lenovo Tenerife,71.0,0.5
2023-11-05,Dreamland Gran Canaria,88.0,Baskonia,76.0,0.5
2023-11-05,Baxi Manresa,74.0,UCAM Murcia,87.0,0.5
2023-11-05,Valencia Basket,76.0,Joventut,80.0,0.5
2023-11-05,Real Madrid,83.0,Covirán Granada,76.0,0.5
2023-11-05,Barça,79.0,Río Breogán,63.0,0.5
2023-11-07,Cedevita Olimpija,87.0,Umana Reyer Venezia,95.0,1.0
2023-11-08,Veolia Towers Hamburg,78.0,Beşiktaş Emlakjet,90.0,1.0
2023-11-08,London Lions,87.0,Joventut,76.0,1.0
2023-11-08,Joventut,,London Lions,,1.0
2023-11-08,Hapoel Tel Aviv,87.0,Paris Basketball,114.0,1.0
2023-11-08,Prometey,71.0,Wolves Vilnius,85.0,1.0
2023-11-11,Baxi Manresa,90.0,MoraBanc Andorra,86.0,0.5
2023-11-11,UCAM Murcia,76.0,Zunder Palencia,66.0,0.5
2023-11-11,Joventut,77.0,Río Breogán,85.0,0.5
2023-11-11,Unicaja,82.0,Bàsquet Girona,78.0,0.5
2023-11-12,Casademont Zaragoza,69.0,Valencia Basket,76.0,0.5
2023-11-12,Baskonia,95.0,Monbus Obradoiro,108.0,0.5
