Date,Team,PTS,,Opp,PTS,,OT,Notes
Sun Oct 29 2023,Nanterre 92,67,,Cholet Basket,70,,,
Sun Oct 29 2023,Limoges CSP,83,,Saint-Quentin Basketball,75,,,
Sun Oct 29 2023,SIG Strasbourg,72,,LDLC ASVEL,91,,,
Sat Nov 4 2023,Chorale Roanne Basket,84,,JL Bourg,81,,,
Sat Nov 4 2023,Metropolitans 92,92,,Élan Sportif Chalonnais,86,,,
Sat Nov 4 2023,Le Mans Sarthe Basket,84,,BCM Gravelines-Dunkerque,71,,,
Sat Nov 4 2023,Cholet Basket,84,,ESSM Le Portel,87,,OT,
Sat Nov 4 2023,AS Monaco,86,,SLUC Nancy Basket,94,,,
Sat Nov 4 2023,Saint-Quentin Basketball,75,,Nanterre 92,80,,,
Sun Nov 5 2023,LDLC ASVEL,68,,Limoges CSP,79,,,
Sun Nov 5 2023,Blois,65,,Paris Basketball,72,,,
Sun Nov 5 2023,Jeanne d'Arc Dijon Basket,81,,SIG Strasbourg,64,,,
Tue Nov 7 2023,ESSM Le Portel,78,,Metropolitans 92,62,,,
Tue Nov 7 2023,Saint-Quentin Basketball,66,,SIG Strasbourg,78,,,
Sat Nov 11 2023,ESSM Le Portel,80,,Blois,71,,,
Sat Nov 11 2023,SIG Strasbourg,91,,Élan Sportif Chalonnais,101,,,
Sat Nov 11 2023,SLUC Nancy Basket,66,,Le Mans Sarthe Basket,98,,,
Sat Nov 11 2023,BCM Gravelines-Dunkerque,74,,Metropolitans 92,72,,,
Sat Nov 11 2023,Limoges CSP,76,,Chorale Roanne Basket,79,,,
Sat Nov 11 2023,JL Bourg,61,,Saint-Quentin Basketball,92,,,
Sun Nov 12 2023,Paris Basketball,77,,Cholet Basket,70,,,
Sun Nov 12 2023,Nanterre 92,82,,AS Monaco,91,,,
Sun Nov 12 2023,Jeanne d'Arc Dijon Basket,74,,LDLC ASVEL,79,,,
Wed Nov 15 2023,SLUC Nancy Basket,76,,Cholet Basket,67,,,
Sat Nov 18 2023,Élan Sportif Chalonnais,67,,JL Bourg,90,,,
Sat Nov 18 2023,Saint-Quentin Basketball,69,,Jeanne d'Arc Dijon Basket,77,,,
Sat Nov 18 2023,SLUC Nancy Basket,76,,BCM Gravelines-Dunkerque,83,,,
Sat Nov 18 2023,Metropolitans 92,86,,Nanterre 92,94,,,
Sat Nov 18 2023,Paris Basketball,76,,Chorale Roanne Basket,83,,,
Sat Nov 18 2023,ESSM Le Portel,75,,SIG Strasbourg,90,,,
Sun Nov 19 2023,LDLC ASVEL,73,,Cholet Basket,69,,,
Sun Nov 19 2023,Le Mans Sarthe Basket,78,,Limoges CSP,79,,,
Sun Nov 19 2023,Blois,81,,AS Monaco,99,,,
Sat Nov 25 2023,SIG Strasbourg,73,,Blois,68,,,
Sat Nov 25 2023,Limoges CSP,78,,Élan Sportif Chalonnais,80,,,
Sat Nov 25 2023,Jeanne d'Arc Dijon Basket,75,,ESSM Le Portel,81,,,
Sat Nov 25 2023,BCM Gravelines-Dunkerque,78,,Paris Basketball,97,,,
Sat Nov 25 2023,Cholet Basket,60,,Saint-Quentin Basketball,75,,,
Sun Nov 26 2023,LDLC ASVEL,80,,JL Bourg,74,,,
Sun Nov 26 2023,Nanterre 92,71,,SLUC Nancy Basket,91,,,
Sun Nov 26 2023,Chorale Roanne Basket,83,,Metropolitans 92,90,,,
Tue Nov 28 2023,AS Monaco,95,,Le Mans Sarthe Basket,84,,,
Tue Nov 28 2023,Cholet Basket,59,,BCM Gravelines-Dunkerque,66,,,
Tue Nov 28 2023,Blois,77,,LDLC ASVEL,85,,,
Sat Dec 2 2023,JL Bourg,80,,Le Mans Sarthe Basket,64,,,
Sat Dec 2 2023,ESSM Le Portel,76,,Limoges CSP,73,,,
Sat Dec 2 2023,Élan Sportif Chalonnais,72,,Nanterre 92,83,,,
Sat Dec 2 2023,Jeanne d'Arc Dijon Basket,105,,Chorale Roanne Basket,92,,,
Sat Dec 2 2023,SLUC Nancy Basket,78,,SIG Strasbourg,88,,,
Sun Dec 3 2023,Saint-Quentin Basketball,75,,Blois,60,,,
Sun Dec 3 2023,Paris Basketball,62,,AS Monaco,84,,,
Sun Dec 3 2023,Metropolitans 92,76,,LDLC ASVEL,102,,,
Sat Dec 9 2023,Blois,75,,Élan Sportif Chalonnais,93,,,
Sat Dec 9 2023,JL Bourg,88,,Cholet Basket,78,,,
Sat Dec 9 2023,Nanterre 92,84,,Jeanne d'Arc Dijon Basket,82,,,
Sat Dec 9 2023,SIG Strasbourg,56,,BCM Gravelines-Dunkerque,67,,,
Sat Dec 9 2023,Le Mans Sarthe Basket,100,,Metropolitans 92,88,,,
Sat Dec 9 2023,Chorale Roanne Basket,64,,Saint-Quentin Basketball,57,,,
Sun Dec 10 2023,AS Monaco,74,,ESSM Le Portel,67,,,
Sun Dec 10 2023,Limoges CSP,75,,SLUC Nancy Basket,67,,,
Sun Dec 10 2023,LDLC ASVEL,86,,Paris Basketball,92,,,
Sat Dec 16 2023,Cholet Basket,80,,Blois,78,,,
Sat Dec 16 2023,Paris Basketball,81,,JL Bourg,83,,,
Sat Dec 16 2023,Limoges CSP,60,,Jeanne d'Arc Dijon Basket,90,,,
Sat Dec 16 2023,Saint-Quentin Basketball,77,,Le Mans Sarthe Basket,76,,,
Sat Dec 16 2023,BCM Gravelines-Dunkerque,75,,Nanterre 92,78,,,
Sat Dec 16 2023,Metropolitans 92,61,,SIG Strasbourg,74,,,
Sun Dec 17 2023,SLUC Nancy Basket,93,,ESSM Le Portel,88,,,
Sun Dec 17 2023,Chorale Roanne Basket,73,,AS Monaco,116,,,
Sun Dec 17 2023,Élan Sportif Chalonnais,72,,LDLC ASVEL,79,,,
Sat Dec 23 2023,Cholet Basket,81,,Élan Sportif Chalonnais,79,,,
Sat Dec 23 2023,Jeanne d'Arc Dijon Basket,67,,Le Mans Sarthe Basket,76,,,
Sat Dec 23 2023,Nanterre 92,68,,Limoges CSP,79,,,
Sat Dec 23 2023,JL Bourg,85,,SLUC Nancy Basket,59,,,
Sat Dec 23 2023,SIG Strasbourg,67,,Paris Basketball,78,,,
Sat Dec 23 2023,BCM Gravelines-Dunkerque,,,Chorale Roanne Basket,,,,Postponed
Sat Dec 23 2023,ESSM Le Portel,67,,Saint-Quentin Basketball,88,,,
Sat Dec 23 2023,Metropolitans 92,84,,Blois,95,,,
Tue Dec 26 2023,AS Monaco,85,,Metropolitans 92,77,,,
Tue Dec 26 2023,Élan Sportif Chalonnais,86,,SIG Strasbourg,82,,,
Wed Dec 27 2023,Le Mans Sarthe Basket,96,,Cholet Basket,111,,,
