Date,Team,PTS,,Opp,PTS,,OT,Notes
Thu Nov 16 2023,Fenerbahçe Beko,73,,Maccabi Playtika Tel Aviv,78,,,
Fri Nov 17 2023,Valencia Basket,70,,Barcelona,74,,,
Fri Nov 17 2023,Virtus Segafredo Bologna,76,,Panathinaikos,90,,,
Fri Nov 17 2023,ALBA Berlin,74,,Partizan Mozzart Bet,89,,,
Fri Nov 17 2023,Baskonia,88,,LDLC ASVEL,81,,,
Fri Nov 17 2023,Bayern München,73,,Žalgiris,74,,,
Thu Nov 23 2023,Barcelona,92,,Maccabi Playtika Tel Aviv,90,,,
Thu Nov 23 2023,Valencia Basket,73,,Panathinaikos,90,,,
Thu Nov 23 2023,ALBA Berlin,75,,Real Madrid,99,,,
Thu Nov 23 2023,Bayern München,101,,LDLC ASVEL,100,,2OT,
Thu Nov 23 2023,Fenerbahçe Beko,79,,Virtus Segafredo Bologna,87,,,
Fri Nov 24 2023,Partizan Mozzart Bet,94,,Anadolu Efes,100,,,
Fri Nov 24 2023,Žalgiris,72,,Olympiacos,89,,,
Fri Nov 24 2023,EA7 Emporio Armani Milano,93,,Crvena zvezda Meridianbet,71,,,
Fri Nov 24 2023,AS Monaco,77,,Baskonia,75,,,
Tue Nov 28 2023,Real Madrid,99,,Maccabi Playtika Tel Aviv,70,,,
Thu Nov 30 2023,Virtus Segafredo Bologna,76,,Bayern München,90,,,
Thu Nov 30 2023,ALBA Berlin,81,,Maccabi Playtika Tel Aviv,102,,,
Thu Nov 30 2023,Olympiacos,77,,AS Monaco,85,,,
Thu Nov 30 2023,Panathinaikos,87,,Partizan Mozzart Bet,92,,OT,
Thu Nov 30 2023,Real Madrid,99,,Fenerbahçe Beko,100,,OT,
Thu Nov 30 2023,Žalgiris,83,,EA7 Emporio Armani Milano,70,,,
Fri Dec 1 2023,LDLC ASVEL,92,,Barcelona,101,,,
Fri Dec 1 2023,Anadolu Efes,83,,Crvena zvezda Meridianbet,97,,,
Fri Dec 1 2023,Baskonia,98,,Valencia Basket,84,,,
Tue Dec 5 2023,Žalgiris,62,,ALBA Berlin,64,,,
Tue Dec 5 2023,Panathinaikos,68,,Anadolu Efes,71,,,
Tue Dec 5 2023,EA7 Emporio Armani Milano,84,,Bayern München,91,,OT,
Tue Dec 5 2023,Real Madrid,77,,Olympiacos,71,,,
Tue Dec 5 2023,AS Monaco,85,,Partizan Mozzart Bet,89,,OT,
Wed Dec 6 2023,Crvena zvezda Meridianbet,81,,Valencia Basket,85,,,
Wed Dec 6 2023,Maccabi Playtika Tel Aviv,94,,LDLC ASVEL,91,,,
Wed Dec 6 2023,Barcelona,75,,Virtus Segafredo Bologna,80,,,
Wed Dec 6 2023,Fenerbahçe Beko,79,,Baskonia,80,,,
Thu Dec 7 2023,Anadolu Efes,97,,ALBA Berlin,89,,,
Thu Dec 7 2023,Real Madrid,90,,Panathinaikos,78,,,
Thu Dec 7 2023,EA7 Emporio Armani Milano,69,,Partizan Mozzart Bet,82,,,
Fri Dec 8 2023,Fenerbahçe Beko,81,,Barcelona,89,,,
Fri Dec 8 2023,Bayern München,69,,Olympiacos,77,,,
Fri Dec 8 2023,Valencia Basket,78,,LDLC ASVEL,55,,,
Fri Dec 8 2023,Maccabi Playtika Tel Aviv,90,,Virtus Segafredo Bologna,100,,,
Fri Dec 8 2023,Crvena zvezda Meridianbet,85,,Baskonia,87,,,
Fri Dec 8 2023,AS Monaco,83,,Žalgiris,79,,,
Thu Dec 14 2023,Maccabi Playtika Tel Aviv,,,Anadolu Efes,,,,Postponed
Thu Dec 14 2023,Bayern München,73,,Real Madrid,88,,,
Thu Dec 14 2023,Panathinaikos,89,,LDLC ASVEL,81,,,
Thu Dec 14 2023,Virtus Segafredo Bologna,91,,Baskonia,81,,,
Thu Dec 14 2023,Partizan Mozzart Bet,93,,Žalgiris,85,,,
Thu Dec 14 2023,ALBA Berlin,71,,Crvena zvezda Meridianbet,85,,,
Thu Dec 14 2023,Anadolu Efes,86,,Maccabi Playtika Tel Aviv,95,,,
Fri Dec 15 2023,EA7 Emporio Armani Milano,90,,Barcelona,86,,,
Fri Dec 15 2023,Valencia Basket,63,,Olympiacos,56,,,
Fri Dec 15 2023,AS Monaco,74,,Fenerbahçe Beko,86,,,
Tue Dec 19 2023,Barcelona,70,,ALBA Berlin,74,,,
Tue Dec 19 2023,Baskonia,81,,Maccabi Playtika Tel Aviv,89,,,
Tue Dec 19 2023,Real Madrid,72,,Crvena zvezda Meridianbet,58,,,
Tue Dec 19 2023,Partizan Mozzart Bet,72,,Valencia Basket,67,,,
Tue Dec 19 2023,Olympiacos,67,,Virtus Segafredo Bologna,69,,,
Wed Dec 20 2023,Anadolu Efes,71,,Bayern München,86,,,
Wed Dec 20 2023,LDLC ASVEL,61,,EA7 Emporio Armani Milano,84,,,
Wed Dec 20 2023,Panathinaikos,91,,AS Monaco,90,,,
Wed Dec 20 2023,Žalgiris,78,,Fenerbahçe Beko,80,,,
Thu Dec 21 2023,Crvena zvezda Meridianbet,98,,Maccabi Playtika Tel Aviv,92,,,
Thu Dec 21 2023,Partizan Mozzart Bet,75,,Real Madrid,91,,,
Thu Dec 21 2023,Virtus Segafredo Bologna,71,,Valencia Basket,79,,,
Fri Dec 22 2023,Fenerbahçe Beko,91,,ALBA Berlin,82,,,
Fri Dec 22 2023,Baskonia,87,,Anadolu Efes,80,,,
Fri Dec 22 2023,AS Monaco,91,,Bayern München,80,,,
Fri Dec 22 2023,Panathinaikos,76,,EA7 Emporio Armani Milano,68,,,
Fri Dec 22 2023,Olympiacos,85,,LDLC ASVEL,73,,,
Fri Dec 22 2023,Barcelona,85,,Žalgiris,80,,,
Thu Dec 28 2023,Fenerbahçe Beko,89,,Anadolu Efes,84,,,
Thu Dec 28 2023,Valencia Basket,84,,Bayern München,85,,,
Thu Dec 28 2023,Baskonia,67,,EA7 Emporio Armani Milano,76,,,
Thu Dec 28 2023,Crvena zvezda Meridianbet,65,,Panathinaikos,82,,,
Thu Dec 28 2023,Real Madrid,77,,LDLC ASVEL,76,,,
Thu Dec 28 2023,Maccabi Playtika Tel Aviv,78,,Žalgiris,70,,,
Thu Dec 28 2023,Virtus Segafredo Bologna,77,,Partizan Mozzart Bet,75,,,
Fri Dec 29 2023,Olympiacos,94,,ALBA Berlin,67,,,
Fri Dec 29 2023,Barcelona,71,,AS Monaco,91,,,
Tue Jan 2 2024,AS Monaco,83,,Maccabi Playtika Tel Aviv,93,,,
Tue Jan 2 2024,EA7 Emporio Armani Milano,74,,Olympiacos,79,,,
Tue Jan 2 2024,LDLC ASVEL,77,,Partizan Mozzart Bet,90,,,
Tue Jan 2 2024,Crvena zvezda Meridianbet,85,,Fenerbahçe Beko,76,,,
Tue Jan 2 2024,ALBA Berlin,71,,Žalgiris,77,,,
Wed Jan 3 2024,Real Madrid,78,,Barcelona,83,,,
Wed Jan 3 2024,Anadolu Efes,88,,Valencia Basket,93,,,
Wed Jan 3 2024,Bayern München,83,,Virtus Segafredo Bologna,85,,,
Wed Jan 3 2024,Panathinaikos,73,,Baskonia,75,,,
Thu Jan 4 2024,AS Monaco,73,,Olympiacos,75,,,
Thu Jan 4 2024,Partizan Mozzart Bet,72,,Crvena zvezda Meridianbet,88,,,
Thu Jan 4 2024,Maccabi Playtika Tel Aviv,74,,Fenerbahçe Beko,109,,,
Thu Jan 4 2024,Žalgiris,79,,LDLC ASVEL,93,,,
Fri Jan 5 2024,Virtus Segafredo Bologna,83,,ALBA Berlin,68,,,
Fri Jan 5 2024,Baskonia,85,,Barcelona,89,,,
Fri Jan 5 2024,Bayern München,62,,EA7 Emporio Armani Milano,76,,,
Fri Jan 5 2024,Anadolu Efes,126,,Real Madrid,130,,4OT,
Fri Jan 5 2024,Panathinaikos,82,,Valencia Basket,81,,,
Tue Jan 9 2024,Real Madrid,92,,Bayern München,71,,,
Tue Jan 9 2024,ALBA Berlin,76,,EA7 Emporio Armani Milano,82,,,
Tue Jan 9 2024,Baskonia,83,,AS Monaco,93,,,
Tue Jan 9 2024,Anadolu Efes,76,,Panathinaikos,83,,,
Tue Jan 9 2024,Partizan Mozzart Bet,76,,Fenerbahçe Beko,91,,,
Tue Jan 9 2024,Žalgiris,84,,Valencia Basket,79,,,
Tue Jan 9 2024,Crvena zvezda Meridianbet,91,,LDLC ASVEL,100,,,
Wed Jan 10 2024,Olympiacos,78,,Barcelona,86,,,
Wed Jan 10 2024,Virtus Segafredo Bologna,78,,Maccabi Playtika Tel Aviv,95,,,
Thu Jan 11 2024,Crvena zvezda Meridianbet,76,,EA7 Emporio Armani Milano,62,,,
Thu Jan 11 2024,AS Monaco,63,,Panathinaikos,88,,,
Thu Jan 11 2024,Valencia Basket,86,,Real Madrid,96,,OT,
Thu Jan 11 2024,Bayern München,91,,Fenerbahçe Beko,98,,OT,
Fri Jan 12 2024,Virtus Segafredo Bologna,75,,Anadolu Efes,99,,,
Fri Jan 12 2024,Žalgiris,73,,Barcelona,91,,,
Fri Jan 12 2024,Maccabi Playtika Tel Aviv,79,,Partizan Mozzart Bet,88,,,
Fri Jan 12 2024,ALBA Berlin,88,,LDLC ASVEL,63,,,
Fri Jan 12 2024,Olympiacos,69,,Baskonia,80,,,
Thu Jan 18 2024,Bayern München,82,,ALBA Berlin,65,,,
Thu Jan 18 2024,Barcelona,74,,Anadolu Efes,98,,,
Thu Jan 18 2024,Maccabi Playtika Tel Aviv,72,,Olympiacos,89,,,
Thu Jan 18 2024,Baskonia,91,,Crvena zvezda Meridianbet,90,,,
Thu Jan 18 2024,LDLC ASVEL,63,,Virtus Segafredo Bologna,73,,,
Fri Jan 19 2024,Real Madrid,74,,AS Monaco,98,,,
Fri Jan 19 2024,Partizan Mozzart Bet,71,,Panathinaikos,84,,,
Fri Jan 19 2024,EA7 Emporio Armani Milano,72,,Valencia Basket,84,,,
Fri Jan 19 2024,Fenerbahçe Beko,75,,Žalgiris,98,,,
Thu Jan 25 2024,Crvena zvezda Meridianbet,80,,ALBA Berlin,89,,,
Thu Jan 25 2024,LDLC ASVEL,76,,Bayern München,64,,,
Thu Jan 25 2024,Panathinaikos,75,,Maccabi Playtika Tel Aviv,90,,,
Thu Jan 25 2024,Olympiacos,85,,Real Madrid,90,,,
Thu Jan 25 2024,Virtus Segafredo Bologna,75,,Fenerbahçe Beko,88,,,
Fri Jan 26 2024,AS Monaco,80,,Anadolu Efes,78,,,
Fri Jan 26 2024,Barcelona,70,,EA7 Emporio Armani Milano,74,,,
Fri Jan 26 2024,Žalgiris,72,,Partizan Mozzart Bet,81,,,
Fri Jan 26 2024,Valencia Basket,77,,Baskonia,62,,,
Tue Jan 30 2024,Baskonia,109,,Bayern München,112,,OT,
Tue Jan 30 2024,ALBA Berlin,87,,Olympiacos,101,,,
Tue Jan 30 2024,Maccabi Playtika Tel Aviv,101,,Real Madrid,106,,,
Tue Jan 30 2024,Valencia Basket,64,,Crvena zvezda Meridianbet,82,,,
Tue Jan 30 2024,Fenerbahçe Beko,83,,LDLC ASVEL,73,,,
Wed Jan 31 2024,Virtus Segafredo Bologna,57,,Barcelona,84,,,
Wed Jan 31 2024,Partizan Mozzart Bet,70,,AS Monaco,85,,,
Wed Jan 31 2024,EA7 Emporio Armani Milano,62,,Panathinaikos,79,,,
Wed Jan 31 2024,Anadolu Efes,70,,Žalgiris,96,,,
Thu Feb 1 2024,Valencia Basket,81,,ALBA Berlin,66,,,
Thu Feb 1 2024,Olympiacos,76,,Bayern München,72,,,
Thu Feb 1 2024,LDLC ASVEL,79,,Real Madrid,86,,,
Thu Feb 1 2024,Maccabi Playtika Tel Aviv,82,,Baskonia,92,,,
Fri Feb 2 2024,EA7 Emporio Armani Milano,73,,Anadolu Efes,79,,,
Fri Feb 2 2024,Fenerbahçe Beko,69,,AS Monaco,76,,,
Fri Feb 2 2024,Barcelona,85,,Crvena zvezda Meridianbet,76,,,
Fri Feb 2 2024,Partizan Mozzart Bet,84,,Virtus Segafredo Bologna,88,,,
Fri Feb 2 2024,Panathinaikos,68,,Žalgiris,80,,,
