Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Dec 2 2023,Fenerbahçe Beko,64,,Beşiktaş Emlakjet,68,,,
Sat Dec 2 2023,Darüşşafaka Lassa,81,,Yukatel Merkezefendi Basket,83,,,
Sat Dec 2 2023,Türk Telekom,67,,Manisa BB,81,,,
Sat Dec 2 2023,ONVO Büyükçekmece,71,,Reeder Samsunspor,67,,,
Sun Dec 3 2023,Çağdaş Bodrumspor,87,,Galatasaray Nef,77,,,
Sun Dec 3 2023,Anadolu Efes,101,,Petkim Spor,92,,OT,
Sun Dec 3 2023,Bursaspor İnfo Yatırım,85,,Tofaş,91,,,
Fri Dec 8 2023,Reeder Samsunspor,83,,Çağdaş Bodrumspor,71,,,
Sat Dec 9 2023,Bahçeşehir Koleji,94,,Beşiktaş Emlakjet,95,,,
Sat Dec 9 2023,Tofaş,82,,ONVO Büyükçekmece,84,,,
Sat Dec 9 2023,Galatasaray Nef,76,,Pınar Karşıyaka,98,,,
Sun Dec 10 2023,Manisa BB,89,,Darüşşafaka Lassa,87,,,
Sun Dec 10 2023,Yukatel Merkezefendi Basket,87,,Bursaspor İnfo Yatırım,85,,,
Sun Dec 10 2023,Petkim Spor,79,,Türk Telekom,81,,,
Mon Dec 11 2023,Fenerbahçe Beko,80,,Anadolu Efes,81,,,
Fri Dec 15 2023,Darüşşafaka Lassa,78,,Petkim Spor,112,,,
Sat Dec 16 2023,Anadolu Efes,77,,Beşiktaş Emlakjet,85,,,
Sat Dec 16 2023,Pınar Karşıyaka,82,,Reeder Samsunspor,80,,,
Sat Dec 16 2023,Çağdaş Bodrumspor,82,,Tofaş,102,,,
Sun Dec 17 2023,Bahçeşehir Koleji,92,,Galatasaray Nef,86,,,
Sun Dec 17 2023,Bursaspor İnfo Yatırım,95,,Manisa BB,98,,,
Sun Dec 17 2023,Türk Telekom,71,,Fenerbahçe Beko,99,,,
Mon Dec 18 2023,ONVO Büyükçekmece,78,,Yukatel Merkezefendi Basket,64,,,
