Date,Team,PTS,,Opp,PTS,,OT,Notes
Sun Nov 19 2023,Surne Bilbao Basket,78,,Joventut,81,,,
Sun Nov 19 2023,MoraBanc Andorra,88,,Covirán Granada,91,,,
Sun Nov 19 2023,Monbus Obradoiro,56,,Baxi Manresa,76,,,
Sun Nov 19 2023,Barça,73,,UCAM Murcia,82,,,
Sun Nov 19 2023,Unicaja,99,,Real Madrid,93,,,
Sun Nov 19 2023,Valencia Basket,74,,Baskonia,83,,,
Sat Nov 25 2023,Unicaja,67,,Surne Bilbao Basket,43,,,
Sat Nov 25 2023,Joventut,73,,UCAM Murcia,105,,,
Sat Nov 25 2023,Covirán Granada,94,,Monbus Obradoiro,77,,,
Sat Nov 25 2023,Valencia Basket,101,,Zunder Palencia,77,,,
Sun Nov 26 2023,Real Madrid,,,MoraBanc Andorra,,,,Postponed
Sun Nov 26 2023,Bàsquet Girona,78,,Barça,115,,,
Sun Nov 26 2023,Casademont Zaragoza,77,,Río Breogán,82,,,
Sun Nov 26 2023,Lenovo Tenerife,94,,Dreamland Gran Canaria,82,,OT,
Sun Nov 26 2023,Baxi Manresa,86,,Baskonia,94,,,
Sun Nov 26 2023,MoraBanc Andorra,76,,Real Madrid,85,,,
Sat Dec 2 2023,MoraBanc Andorra,104,,Bàsquet Girona,107,,OT,
Sat Dec 2 2023,Monbus Obradoiro,92,,Lenovo Tenerife,87,,,
Sat Dec 2 2023,Baxi Manresa,77,,Unicaja,91,,,
Sat Dec 2 2023,UCAM Murcia,76,,Casademont Zaragoza,82,,,
Sun Dec 3 2023,Covirán Granada,69,,Barça,80,,,
Sun Dec 3 2023,Zunder Palencia,73,,Dreamland Gran Canaria,100,,,
Sun Dec 3 2023,Baskonia,72,,Joventut,77,,,
Sun Dec 3 2023,Río Breogán,58,,Real Madrid,91,,,
Sun Dec 3 2023,Surne Bilbao Basket,85,,Valencia Basket,79,,,
Sat Dec 9 2023,Unicaja,87,,MoraBanc Andorra,81,,,
Sat Dec 9 2023,Río Breogán,76,,Surne Bilbao Basket,68,,,
Sat Dec 9 2023,Zunder Palencia,85,,Covirán Granada,109,,,
Sat Dec 9 2023,Bàsquet Girona,87,,Baxi Manresa,101,,,
Sun Dec 10 2023,Monbus Obradoiro,69,,Joventut,78,,,
Sun Dec 10 2023,Valencia Basket,85,,UCAM Murcia,77,,OT,
Sun Dec 10 2023,Dreamland Gran Canaria,71,,Real Madrid,97,,,
Sun Dec 10 2023,Lenovo Tenerife,100,,Baskonia,104,,,
Sun Dec 10 2023,Barça,99,,Casademont Zaragoza,101,,,
Tue Dec 12 2023,Zunder Palencia,82,,Baskonia,94,,,
Wed Dec 13 2023,Baxi Manresa,83,,Barça,82,,,
Sat Dec 16 2023,Surne Bilbao Basket,75,,Dreamland Gran Canaria,83,,,
Sat Dec 16 2023,Lenovo Tenerife,76,,Baxi Manresa,73,,,
Sat Dec 16 2023,Real Madrid,85,,Monbus Obradoiro,74,,,
Sat Dec 16 2023,Covirán Granada,70,,Unicaja,92,,,
Sun Dec 17 2023,Baskonia,62,,Barça,82,,,
Sun Dec 17 2023,Joventut,82,,Bàsquet Girona,67,,,
Sun Dec 17 2023,UCAM Murcia,83,,Río Breogán,74,,,
Sun Dec 17 2023,Casademont Zaragoza,88,,Zunder Palencia,80,,,
Sun Dec 17 2023,MoraBanc Andorra,82,,Valencia Basket,86,,,
Fri Dec 22 2023,Dreamland Gran Canaria,98,,MoraBanc Andorra,77,,,
Fri Dec 22 2023,Bàsquet Girona,74,,Surne Bilbao Basket,80,,,
Fri Dec 22 2023,Casademont Zaragoza,70,,Lenovo Tenerife,64,,,
Fri Dec 22 2023,Unicaja,88,,UCAM Murcia,65,,,
Sat Dec 23 2023,Monbus Obradoiro,90,,Río Breogán,88,,,
Sat Dec 23 2023,Real Madrid,101,,Joventut,73,,,
Sat Dec 23 2023,Covirán Granada,81,,Valencia Basket,75,,,
Wed Dec 27 2023,Barça,71,,Unicaja,91,,,
Thu Dec 28 2023,Lenovo Tenerife,80,,Covirán Granada,68,,,
Thu Dec 28 2023,MoraBanc Andorra,76,,Casademont Zaragoza,72,,,
Fri Dec 29 2023,Joventut,89,,Baxi Manresa,102,,,
Fri Dec 29 2023,UCAM Murcia,87,,Monbus Obradoiro,79,,,
Sat Dec 30 2023,Baskonia,93,,Bàsquet Girona,85,,,
Sat Dec 30 2023,Río Breogán,60,,Dreamland Gran Canaria,86,,,
Sat Dec 30 2023,Surne Bilbao Basket,72,,Zunder Palencia,78,,,
Sun Dec 31 2023,Valencia Basket,74,,Real Madrid,83,,,
Sat Jan 6 2024,UCAM Murcia,73,,MoraBanc Andorra,98,,,
Sat Jan 6 2024,Joventut,70,,Lenovo Tenerife,90,,,
Sat Jan 6 2024,Unicaja,86,,Zunder Palencia,72,,,
Sat Jan 6 2024,Bàsquet Girona,74,,Casademont Zaragoza,81,,,
