Date,Team,PTS,,Opp,PTS,,OT,Notes
Sun Nov 26 2023,NutriBullet Treviso Basket,76,,Carpegna Prosciutto Pesaro,95,,,
Sun Nov 26 2023,Dolomiti Energia Trento,80,,Bertram Derthona Tortona,83,,OT,
Sun Nov 26 2023,UNAHOTELS Reggio Emilia,70,,Umana Reyer Venezia,90,,,
Sat Dec 2 2023,GeVi Napoli Basket,76,,Estra Pistoia,81,,,
Sat Dec 2 2023,Carpegna Prosciutto Pesaro,68,,UNAHOTELS Reggio Emilia,101,,,
Sun Dec 3 2023,EA7 Emporio Armani Milano,83,,Banco di Sardegna Sassari,89,,,
Sun Dec 3 2023,Germani Basket Brescia,89,,Givova Scafati,83,,,
Sun Dec 3 2023,Umana Reyer Venezia,79,,Dolomiti Energia Trento,106,,,
Sun Dec 3 2023,Happy Casa Brindisi,60,,NutriBullet Treviso Basket,86,,,
Sun Dec 3 2023,Vanoli Basket Cremona,75,,Openjobmetis Varese,68,,,
Sun Dec 3 2023,Bertram Derthona Tortona,70,,Virtus Segafredo Bologna,99,,,
Sat Dec 9 2023,Estra Pistoia,100,,Bertram Derthona Tortona,97,,,
Sat Dec 9 2023,Givova Scafati,59,,Umana Reyer Venezia,83,,,
Sun Dec 10 2023,Banco di Sardegna Sassari,65,,Germani Basket Brescia,110,,,
Sun Dec 10 2023,Openjobmetis Varese,81,,Happy Casa Brindisi,86,,,
Sun Dec 10 2023,NutriBullet Treviso Basket,76,,Vanoli Basket Cremona,70,,,
Sun Dec 10 2023,Virtus Segafredo Bologna,80,,EA7 Emporio Armani Milano,82,,,
Sun Dec 10 2023,UNAHOTELS Reggio Emilia,89,,GeVi Napoli Basket,87,,,
Sun Dec 10 2023,Dolomiti Energia Trento,87,,Carpegna Prosciutto Pesaro,74,,,
Sat Dec 16 2023,Germani Basket Brescia,77,,UNAHOTELS Reggio Emilia,70,,,
Sat Dec 16 2023,Umana Reyer Venezia,85,,Virtus Segafredo Bologna,84,,OT,
Sun Dec 17 2023,Bertram Derthona Tortona,67,,Vanoli Basket Cremona,83,,,
Sun Dec 17 2023,Carpegna Prosciutto Pesaro,74,,Estra Pistoia,73,,,
Sun Dec 17 2023,Happy Casa Brindisi,81,,Banco di Sardegna Sassari,84,,,
Sun Dec 17 2023,GeVi Napoli Basket,85,,Givova Scafati,91,,,
Sun Dec 17 2023,Dolomiti Energia Trento,78,,NutriBullet Treviso Basket,86,,,
Sun Dec 17 2023,EA7 Emporio Armani Milano,74,,Openjobmetis Varese,70,,,
Sat Dec 23 2023,Givova Scafati,103,,Happy Casa Brindisi,98,,OT,
Sat Dec 23 2023,Openjobmetis Varese,88,,Carpegna Prosciutto Pesaro,81,,,
Sat Dec 23 2023,Virtus Segafredo Bologna,91,,Estra Pistoia,70,,,
Sat Dec 23 2023,Banco di Sardegna Sassari,59,,UNAHOTELS Reggio Emilia,77,,,
Sat Dec 23 2023,NutriBullet Treviso Basket,82,,Bertram Derthona Tortona,68,,,
Sat Dec 23 2023,GeVi Napoli Basket,94,,Dolomiti Energia Trento,101,,,
Sat Dec 23 2023,Germani Basket Brescia,71,,Umana Reyer Venezia,86,,,
Sun Dec 24 2023,Vanoli Basket Cremona,51,,EA7 Emporio Armani Milano,74,,,
Fri Dec 29 2023,UNAHOTELS Reggio Emilia,93,,Openjobmetis Varese,116,,,
Sat Dec 30 2023,EA7 Emporio Armani Milano,64,,Germani Basket Brescia,72,,,
Sat Dec 30 2023,Happy Casa Brindisi,58,,Vanoli Basket Cremona,75,,,
Sat Dec 30 2023,Bertram Derthona Tortona,76,,GeVi Napoli Basket,81,,,
Sat Dec 30 2023,Umana Reyer Venezia,73,,Banco di Sardegna Sassari,62,,,
Sat Dec 30 2023,Dolomiti Energia Trento,62,,Givova Scafati,75,,,
Sat Dec 30 2023,Estra Pistoia,89,,NutriBullet Treviso Basket,86,,,
Sat Dec 30 2023,Carpegna Prosciutto Pesaro,66,,Virtus Segafredo Bologna,83,,,
Sat Jan 6 2024,Openjobmetis Varese,101,,NutriBullet Treviso Basket,96,,,
Sun Jan 7 2024,Germani Basket Brescia,79,,Happy Casa Brindisi,88,,,
Sun Jan 7 2024,Banco di Sardegna Sassari,79,,Carpegna Prosciutto Pesaro,69,,,
Sun Jan 7 2024,Vanoli Basket Cremona,60,,Estra Pistoia,64,,,
